Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)지바이크,[공유모빌리티 No.1 지쿠] 전략마케팅팀 데이터분석 전문가 모집,"['서울 강남구', '경력3년↑', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49890333&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집","['서울 강남구', '경력무관', '대졸↑', '인턴직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50361543&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,콘센트릭스서비스코리아(유),[Catalyst] 데이터 분석가 (과장급),"['서울 강남구', '경력5년↑', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073562&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)싸인랩,[데이터분석] 데이터분석가 채용 공고,"['부산 부산진구', '경력무관', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50201890&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)전북은행,데이터분석가 경력직 모집,"['전북 전주시 덕진구', '경력10년↑', '대졸↑', '계약직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320168&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)인라이플,[주4.5일 근무] 데이터 분석 및 기획자 채용,"['서울 구로구', '경력 2~8년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50327246&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)크레이버코퍼레이션,[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 데이터 분석 인턴 채용,"['서울 강남구', '신입·경력', '학력무관', '인턴직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50269659&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)크레버스,[크레버스] 브랜드 마케팅팀 데이터 분석 및 기획 채용,"['서울 강남구', '경력 3~8년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50304696&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)아이샵케어,[토스플레이스 자회사/아이샵케어] Data Analyst (데이터 분석),"['서울 강남구', '경력 5~10년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50192733&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)전북은행,CRM마케팅 & 데이터 분석 경력직 모집,"['전북 전주시 덕진구', '경력3년↑', '대졸↑', '계약직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320796&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
